 ,2016
"001  Carlow Urban, Co. Carlow",35617
"002 Graigue Urban, Co. Carlow",31854
"003 Clonmore, Co. Carlow",43499
"004 Hacketstown, Co. Carlow",33827
"005 Haroldstown, Co. Carlow",33790
"006 Kineagh, Co. Carlow",32474
"007 Rahill, Co. Carlow",33500
"008 Rathvilly, Co. Carlow",34484
"009 Tiknock, Co. Carlow",38964
"010 Williamstown, Co. Carlow",42221
"011 Agha, Co. Carlow",43727
"012 Ballinacarrig (Part Urban), Co. Carlow",45987
"013 Ballintemple, Co. Carlow",39083
"014 Ballon, Co. Carlow",35346
"015 Ballyellin, Co. Carlow",43647
"016 Ballymoon, Co. Carlow",37530
"017 Borris, Co. Carlow",38595
"018 Burton Hall, Co. Carlow",49284
"019 Carlow Rural (Part Urban), Co Carlow",39289
"020 Clogrenan, Co. Carlow",37845
"021 Clonegall, Co. Carlow",39527
"022 Corries, Co. Carlow",36129
"023 Cranemore, Co. Carlow",41185
"024 Fennagh, Co. Carlow",38750
"025 Garryhill, Co. Carlow",37025
"026 Grangeford, Co. Carlow",45427
"027 Johnstown, Co. Carlow",47520
"028 Kellistown, Co. Carlow",44885
"029 Kilbride, Co. Carlow",38927
"030 Killedmond, Co. Carlow",31688
"031 Killerrig, Co. Carlow",36304
"032 Leighlinbridge, Co. Carlow",46814
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",41040
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",36581
"035 Myshall, Co. Carlow",30885
"036 Nurney, Co. Carlow",42826
"037 Oldleighlin, Co. Carlow",38733
"038 Rathanna, Co. Carlow",..
"039 Rathornan, Co. Carlow",41831
"040 Rathrush, Co. Carlow",37418
"041 Ridge, Co. Carlow",29011
"042 Shangarry, Co. Carlow",33300
"043 Sliguff, Co. Carlow",39513
"044 Tankardstown, Co. Carlow",43201
"045 Templepeter, Co. Carlow",43676
"046 Tullowbeg, Co. Carlow",38162
"047 Tullow Rural, Co. Carlow",36418
"048 Tullow Urban, Co. Carlow",35154
"049 Ballymurphy, Co. Carlow",39106
"050 Coonogue, Co. Carlow",27704
"051 Glynn, Co. Carlow",38523
"052 Kyle, Co. Carlow",43512
"053 Marley, Co. Carlow",34692
"054 Tinnahinch, Co. Carlow",34439
"001 Arran Quay A, Dublin City",29499
"002 Arran Quay B, Dublin City",31363
"003 Arran Quay C, Dublin City",36140
"004 Arran Quay D, Dublin City",35669
"005 Arran Quay E, Dublin City",38597
"006 Ashtown A, Dublin City",40876
"007 Ashtown B, Dublin City",44503
"008 Ayrfield, Dublin City",34057
"009 Ballybough A, Dublin City",30275
"010 Ballybough B, Dublin City",28488
"011 Ballygall A, Dublin City",31501
"012 Ballygall B, Dublin City",35081
"013 Ballygall C, Dublin City",40956
"014 Ballygall D, Dublin City",37553
"015 Ballymun A, Dublin City",30867
"016 Ballymun B, Dublin City",20962
"017 Ballymun C, Dublin City",27352
"018 Ballymun D, Dublin City",22279
"019 Ballymun E, Dublin City",43965
"020 Ballymun F, Dublin City",37517
"021 Beaumont A, Dublin City",38734
"022 Beaumont B, Dublin City",34570
"023 Beaumont C, Dublin City",35817
"024 Beaumont D, Dublin City",37468
"025 Beaumont E, Dublin City",41790
"026 Beaumont F, Dublin City",38167
"027 Botanic A, Dublin City",40561
"028 Botanic B, Dublin City",45614
"029 Botanic C, Dublin City",37491
"030 Cabra East A, Dublin City",35097
"031 Cabra East B, Dublin City",31765
"032 Cabra East C, Dublin City",31433
"033 Cabra West A, Dublin City",30084
"034 Cabra West B, Dublin City",28145
"035 Cabra West C, Dublin City",33429
"036 Cabra West D, Dublin City",35501
"037 Clontarf East A, Dublin City",45551
"038 Clontarf East B, Dublin City",53403
"039 Clontarf East C, Dublin City",51048
"040 Clontarf East D, Dublin City",52019
"041 Clontarf East E, Dublin City",52422
"042 Clontarf West A, Dublin City",43989
"043 Clontarf West B, Dublin City",38633
"044 Clontarf West C, Dublin City",45788
"045 Clontarf West D, Dublin City",35643
"046 Clontarf West E, Dublin City",41392
"047 Drumcondra South A, Dublin City",40917
"048 Drumcondra South B, Dublin City",41758
"049 Drumcondra South C, Dublin City",44800
"050 Edenmore, Dublin City",32039
"051 Finglas North A, Dublin City",26138
"052 Finglas North B, Dublin City",25625
"053 Finglas North C, Dublin City",34300
"054 Finglas South A, Dublin City",28642
"055 Finglas South B, Dublin City",28377
"056 Finglas South C, Dublin City",24899
"057 Finglas South D, Dublin City",29822
"058 Grace Park, Dublin City",41325
"059 Grange A, Dublin City",37035
"060 Grange B, Dublin City",35276
"061 Grange C, Dublin City",33853
"062 Grange D, Dublin City",40505
