 ,2016
"001  Carlow Urban, Co. Carlow",22520
"002 Graigue Urban, Co. Carlow",21180
"003 Clonmore, Co. Carlow",25389
"004 Hacketstown, Co. Carlow",25791
"005 Haroldstown, Co. Carlow",28277
"006 Kineagh, Co. Carlow",29204
"007 Rahill, Co. Carlow",24990
"008 Rathvilly, Co. Carlow",23629
"009 Tiknock, Co. Carlow",27961
"010 Williamstown, Co. Carlow",32699
"011 Agha, Co. Carlow",29121
"012 Ballinacarrig (Part Urban), Co. Carlow",33986
"013 Ballintemple, Co. Carlow",24631
"014 Ballon, Co. Carlow",24021
"015 Ballyellin, Co. Carlow",28043
"016 Ballymoon, Co. Carlow",32394
"017 Borris, Co. Carlow",24121
"018 Burton Hall, Co. Carlow",38626
"019 Carlow Rural (Part Urban), Co Carlow",26005
"020 Clogrenan, Co. Carlow",27772
"021 Clonegall, Co. Carlow",23803
"022 Corries, Co. Carlow",25500
"023 Cranemore, Co. Carlow",25582
"024 Fennagh, Co. Carlow",28457
"025 Garryhill, Co. Carlow",27839
"026 Grangeford, Co. Carlow",26843
"027 Johnstown, Co. Carlow",34149
"028 Kellistown, Co. Carlow",33256
"029 Kilbride, Co. Carlow",28369
"030 Killedmond, Co. Carlow",27500
"031 Killerrig, Co. Carlow",36463
"032 Leighlinbridge, Co. Carlow",27578
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",31337
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",23624
"035 Myshall, Co. Carlow",27067
"036 Nurney, Co. Carlow",29397
"037 Oldleighlin, Co. Carlow",28894
"038 Rathanna, Co. Carlow",..
"039 Rathornan, Co. Carlow",22774
"040 Rathrush, Co. Carlow",28987
"041 Ridge, Co. Carlow",24667
"042 Shangarry, Co. Carlow",29640
"043 Sliguff, Co. Carlow",26940
"044 Tankardstown, Co. Carlow",26778
"045 Templepeter, Co. Carlow",34267
"046 Tullowbeg, Co. Carlow",26855
"047 Tullow Rural, Co. Carlow",28522
"048 Tullow Urban, Co. Carlow",21222
"049 Ballymurphy, Co. Carlow",26832
"050 Coonogue, Co. Carlow",21393
"051 Glynn, Co. Carlow",27286
"052 Kyle, Co. Carlow",27338
"053 Marley, Co. Carlow",18636
"054 Tinnahinch, Co. Carlow",23621
"001 Arran Quay A, Dublin City",29211
"002 Arran Quay B, Dublin City",29610
"003 Arran Quay C, Dublin City",33137
"004 Arran Quay D, Dublin City",34084
"005 Arran Quay E, Dublin City",32858
"006 Ashtown A, Dublin City",39788
"007 Ashtown B, Dublin City",44499
"008 Ayrfield, Dublin City",30878
"009 Ballybough A, Dublin City",26319
"010 Ballybough B, Dublin City",28377
"011 Ballygall A, Dublin City",29007
"012 Ballygall B, Dublin City",29737
"013 Ballygall C, Dublin City",37554
"014 Ballygall D, Dublin City",35679
"015 Ballymun A, Dublin City",28600
"016 Ballymun B, Dublin City",20849
"017 Ballymun C, Dublin City",22537
"018 Ballymun D, Dublin City",21188
"019 Ballymun E, Dublin City",41088
"020 Ballymun F, Dublin City",32656
"021 Beaumont A, Dublin City",35490
"022 Beaumont B, Dublin City",37407
"023 Beaumont C, Dublin City",34219
"024 Beaumont D, Dublin City",35441
"025 Beaumont E, Dublin City",35937
"026 Beaumont F, Dublin City",37030
"027 Botanic A, Dublin City",42902
"028 Botanic B, Dublin City",45799
"029 Botanic C, Dublin City",38653
"030 Cabra East A, Dublin City",35816
"031 Cabra East B, Dublin City",30179
"032 Cabra East C, Dublin City",31441
"033 Cabra West A, Dublin City",28700
"034 Cabra West B, Dublin City",27683
"035 Cabra West C, Dublin City",29615
"036 Cabra West D, Dublin City",35412
"037 Clontarf East A, Dublin City",42543
"038 Clontarf East B, Dublin City",45490
"039 Clontarf East C, Dublin City",47787
"040 Clontarf East D, Dublin City",49425
"041 Clontarf East E, Dublin City",45090
"042 Clontarf West A, Dublin City",40058
"043 Clontarf West B, Dublin City",31388
"044 Clontarf West C, Dublin City",47952
"045 Clontarf West D, Dublin City",35506
"046 Clontarf West E, Dublin City",40002
"047 Drumcondra South A, Dublin City",39437
"048 Drumcondra South B, Dublin City",40557
"049 Drumcondra South C, Dublin City",42154
"050 Edenmore, Dublin City",26528
"051 Finglas North A, Dublin City",25002
"052 Finglas North B, Dublin City",25369
"053 Finglas North C, Dublin City",31763
"054 Finglas South A, Dublin City",24045
"055 Finglas South B, Dublin City",24876
"056 Finglas South C, Dublin City",22271
"057 Finglas South D, Dublin City",26115
"058 Grace Park, Dublin City",41547
"059 Grange A, Dublin City",30316
"060 Grange B, Dublin City",29454
"061 Grange C, Dublin City",26867
"062 Grange D, Dublin City",30033
"063 Grange E, Dublin City",30054
"064 Harmonstown A, Dublin City",30652
"065 Harmonstown B, Dublin City",32433
"066 Inns Quay A, Dublin City",33317
"067 Inns Quay B, Dublin City",27000
"068 Inns Quay C, Dublin City",24750
"069 Kilmore A, Dublin City",30984
"070 Kilmore B, Dublin City",25350
"071 Kilmore C, Dublin City",24624
"072 Kilmore D, Dublin City",30573
"073 Mountjoy A, Dublin City",24501
"074 Mountjoy B, Dublin City",20521
"075 North City, Dublin City",28987
"076 North Dock A, Dublin City",33000
"077 North Dock B, Dublin City",36489
"078 North Dock C, Dublin City",38481
"079 Phoenix Park, Dublin City",41028
"080 Priorswood A, Dublin City",28671
"081 Priorswood B, Dublin City",21535
"082 Priorswood C, Dublin City",23303
"083 Priorswood D, Dublin City",23721
"084 Priorswood E, Dublin City",28952
"085 Raheny-Foxfield, Dublin City",33524
"086 Raheny-Greendale, Dublin City",31876
"087 Raheny-St. Assam, Dublin City",44908
"088 Rotunda A, Dublin City",21400
"089 Rotunda B, Dublin City",28049
"090 Whitehall A, Dublin City",41059
"091 Whitehall B, Dublin City",34457
"092 Whitehall C, Dublin City",34043
"093 Whitehall D, Dublin City",39285
"094 Chapelizod, Dublin City",41083
"095 Cherry Orchard A, Dublin City",25027
"096 Carna, Dublin City",26032
"097 Cherry Orchard C, Dublin City",24851
"098 Crumlin A, Dublin City",30195
"099 Crumlin B, Dublin City",30765
"100 Crumlin C, Dublin City",32797
"101 Crumlin D, Dublin City",32073
"102 Crumlin E, Dublin City",28998
"103 Crumlin F, Dublin City",33625
"104 Decies, Dublin City",25576
"105 Drumfinn, Dublin City",25524
"106 Inchicore A, Dublin City",33674
"107 Inchicore B, Dublin City",28248
"108 Kilmainham A, Dublin City",28419
"109 Kilmainham B, Dublin City",43123
"110 Kilmainham C, Dublin City",32968
"111 Kimmage A, Dublin City",28800
"112 Kimmage B, Dublin City",29815
"113 Kimmage C, Dublin City",38623
"114 Kimmage D, Dublin City",33235
"115 Kimmage E, Dublin City",33812
"116 Kylemore, Dublin City",27207
"117 Mansion House A, Dublin City",34283
"118 Mansion House B, Dublin City",44193
"119 Merchants Quay A, Dublin City",28091
"120 Merchants Quay B, Dublin City",30324
"121 Merchants Quay C, Dublin City",29750
"122 Merchants Quay D, Dublin City",37893
"123 Merchants Quay E, Dublin City",38130
"124 Merchants Quay F, Dublin City",30015
"125 Pembroke East A, Dublin City",39880
"126 Pembroke East B, Dublin City",52672
"127 Pembroke East C, Dublin City",55302
"128 Pembroke East D, Dublin City",49368
"129 Pembroke East E, Dublin City",56066
"130 Pembroke West A, Dublin City",54674
"131 Pembroke West B, Dublin City",58470
"132 Pembroke West C, Dublin City",50928
"133 Rathfarnham, Dublin City",48289
"134 Rathmines East A, Dublin City",48777
"135 Rathmines East B, Dublin City",56057
"136 Rathmines East C, Dublin City",53927
"137 Rathmines East D, Dublin City",46062
"138 Rathmines West A, Dublin City",37753
"139 Rathmines West B, Dublin City",37457
"140 Rathmines West C, Dublin City",43623
"141 Rathmines West D, Dublin City",40790
"142 Rathmines West E, Dublin City",44278
"143 Rathmines West F, Dublin City",39566
"144 Royal Exchange A, Dublin City",36567
"145 Royal Exchange B, Dublin City",24939
"146 St. Kevin's, Dublin City",38769
"147 South Dock, Dublin City",51303
"148 Terenure A, Dublin City",39407
"149 Terenure B, Dublin City",42322
"150 Terenure C, Dublin City",46163
"151 Terenure D, Dublin City",40421
"152 Ushers A, Dublin City",41647
"153 Ushers B, Dublin City",26199
"154 Ushers C, Dublin City",28168
"155 Ushers D, Dublin City",31168
"156 Ushers E, Dublin City",30440
"157 Ushers F, Dublin City",44081
"158 Walkinstown A, Dublin City",32789
"159 Walkinstown B, Dublin City",33132
"160 Walkinstown C, Dublin City",33582
"161 Wood Quay A, Dublin City",26108
"162 Wood Quay B, Dublin City",36110
"001 Ballinascorney, South Dublin",29369
"002 Ballyboden, South Dublin",40547
"003 Bohernabreena, South Dublin",31940
"004 Clondalkin-Ballymount, South Dublin",30678
"005 Clondalkin-Cappaghmore, South Dublin",23671
"006 Clondalkin-Dunawley, South Dublin",25815
"007 Clondalkin-Monastery, South Dublin",29163
"008 Clondalkin-Moorfield, South Dublin",25556
"009 Clondalkin-Rowlagh, South Dublin",23684
"010 Clondalkin Village, South Dublin",30334
"011 Edmondstown, South Dublin",34477
"012 Firhouse-Ballycullen, South Dublin",41659
"013 Firhouse-Knocklyon, South Dublin",41215
"014 Firhouse Village, South Dublin",37100
"015 Lucan-Esker, South Dublin",35794
"016 Lucan Heights, South Dublin",34744
"017 Lucan-St. Helen's, South Dublin",34910
"018 Newcastle, South Dublin",34320
"019 Palmerston Village, South Dublin",35269
"020 Palmerston West, South Dublin",29196
"021 Rathcoole, South Dublin",33889
"022 Rathfarnham-Ballyroan, South Dublin",47546
"023 Rathfarnham-Butterfield, South Dublin",49382
"024 Rathfarnham-Hermitage, South Dublin",44153
"025 Rathfarnham-St. Enda's, South Dublin",40428
"026 Rathfarnham Village, South Dublin",44987
"027 Saggart, South Dublin",35120
"028 Tallaght-Avonbeg, South Dublin",26500
"029 Tallaght-Belgard, South Dublin",29762
"030 Tallaght-Fettercairn, South Dublin",24225
"031 Tallaght-Glenview, South Dublin",29102
"032 Tallaght-Jobstown, South Dublin",27791
"033 Tallaght-Killinardan, South Dublin",21900
"034 Tallaght-Kilnamanagh, South Dublin",31272
"035 Tallaght-Kiltipper, South Dublin",28505
"036 Tallaght-Kingswood, South Dublin",29185
"037 Tallaght-Millbrook, South Dublin",28689
"038 Tallaght-Oldbawn, South Dublin",31257
"039 Tallaght-Springfield, South Dublin",26270
"040 Tallaght-Tymon, South Dublin",28770
"041 Templeogue-Cypress, South Dublin",42330
"042 Templeogue-Kimmage Manor, South Dublin",50341
"043 Templeogue-Limekiln, South Dublin",35189
"044 Templeogue-Orwell, South Dublin",43453
"045 Templeogue-Osprey, South Dublin",38416
"046 Templeogue Village, South Dublin",58154
"047 Terenure-Cherryfield, South Dublin",36404
"048 Terenure-Greentrees, South Dublin",39771
"049 Terenure-St. James, South Dublin",32280
"001 Airport, Fingal",31063
"002 Balbriggan Rural, Fingal",27005
"003 Balbriggan Urban, Fingal",26543
"004 Baldoyle, Fingal",32706
"005 Balgriffin, Fingal",35751
"006 Ballyboghil, Fingal",33997
"007 Balscadden, Fingal",31710
"008 Blanchardstown-Abbotstown, Fingal",36878
"009 Blanchardstown-Blakestown, Fingal",31037
"010 Blanchardstown-Coolmine, Fingal",27162
"011 Blanchardstown-Corduff, Fingal",23807
"012 Blanchardstown-Delwood, Fingal",33766
"013 Blanchardstown-Mulhuddart, Fingal",25880
"014 Blanchardstown-Roselawn, Fingal",32915
"015 Blanchardstown-Tyrrelstown, Fingal",21939
"016 Castleknock-Knockmaroon, Fingal",41605
"017 Castleknock-Park, Fingal",49776
"018 Clonmethan, Fingal",32257
"019 Donabate, Fingal",36812
"020 Dubber, Fingal",30405
"021 Garristown, Fingal",26574
"022 Hollywood, Fingal",28454
"023 Holmpatrick, Fingal",34221
"024 Howth, Fingal",35020
"025 Kilsallaghan, Fingal",28568
"026 Kinsaley, Fingal",32203
"027 Lucan North, Fingal",51200
"028 Lusk, Fingal",30606
"029 Malahide East, Fingal",39030
"030 Malahide West, Fingal",40478
"031 Portmarnock North, Fingal",33155
"032 Portmarnock South, Fingal",35056
"033 Rush, Fingal",26364
"034 Skerries, Fingal",29562
"035 Sutton, Fingal",38298
"036 Swords-Forrest, Fingal",31104
"037 Swords-Glasmore, Fingal",27134
"038 Swords-Lissenhall, Fingal",29060
"039 Swords-Seatown, Fingal",32716
"040 Swords Village, Fingal",28106
"041 The Ward, Fingal",30915
"042 Turnapin, Fingal",32141
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",34988
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",39266
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",39759
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",45960
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",32000
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",45022
"007 Ballybrack, Dún Laoghaire-Rathdown",31700
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",50880
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",48725
"010 Blackrock-Central, Dún Laoghaire-Rathdown",54461
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",53489
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",44432
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",44623
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",60831
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",37378
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",44010
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",50139
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",34754
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",31060
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",36325
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",35450
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",43410
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",51040
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",33433
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",51532
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",49875
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",52526
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",40062
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",62627
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",52743
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",45514
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",44639
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",37561
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",38538
"035 Dalkey Hill, Dún Laoghaire-Rathdown",38427
"036 Dalkey Upper, Dún Laoghaire-Rathdown",46065
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",40302
